"GEO_ID","NAME","B02001_001E","B02001_001M","B02001_002E","B02001_002M","B02001_003E","B02001_003M","B02001_004E","B02001_004M","B02001_005E","B02001_005M","B02001_006E","B02001_006M","B02001_007E","B02001_007M","B02001_008E","B02001_008M","B02001_009E","B02001_009M","B02001_010E","B02001_010M"
"id","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!White alone","Margin of Error!!Total:!!White alone","Estimate!!Total:!!Black or African American alone","Margin of Error!!Total:!!Black or African American alone","Estimate!!Total:!!American Indian and Alaska Native alone","Margin of Error!!Total:!!American Indian and Alaska Native alone","Estimate!!Total:!!Asian alone","Margin of Error!!Total:!!Asian alone","Estimate!!Total:!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total:!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total:!!Some other race alone","Margin of Error!!Total:!!Some other race alone","Estimate!!Total:!!Two or more races:","Margin of Error!!Total:!!Two or more races:","Estimate!!Total:!!Two or more races:!!Two races including Some other race","Margin of Error!!Total:!!Two or more races:!!Two races including Some other race","Estimate!!Total:!!Two or more races:!!Two races excluding Some other race, and three or more races","Margin of Error!!Total:!!Two or more races:!!Two races excluding Some other race, and three or more races"
"0600000US3401304695","Belleville township, Essex County, New Jersey","36181","38","22748","1002","3591","805","74","62","3669","561","0","26","4591","765","1508","373","296","206","1212","338"
"0600000US3401306260","Bloomfield township, Essex County, New Jersey","49260","42","30152","1173","9923","970","30","45","4323","613","17","33","3262","662","1553","391","414","176","1139","299"
"0600000US3401309250","Caldwell borough, Essex County, New Jersey","7969","37","6935","260","295","143","52","68","449","185","0","17","162","118","76","65","17","20","59","60"
"0600000US3401311200","Cedar Grove township, Essex County, New Jersey","12516","24","10825","265","430","126","26","34","1043","155","13","22","22","34","157","117","0","19","157","117"
"0600000US3401313045","City of Orange township, Essex County, New Jersey","30484","30","4116","602","21252","931","0","26","511","242","0","26","4149","828","456","206","130","80","326","160"
"0600000US3401319390","East Orange city, Essex County, New Jersey","64374","51","2206","388","54472","1076","331","266","1168","381","59","81","5127","820","1011","337","162","95","849","346"
"0600000US3401321840","Essex Fells borough, Essex County, New Jersey","2110","158","1977","162","0","12","0","12","75","33","0","12","0","12","58","36","4","5","54","35"
"0600000US3401322385","Fairfield township, Essex County, New Jersey","7486","156","7101","237","0","17","0","17","271","144","0","17","0","17","114","74","64","50","50","56"
"0600000US3401326610","Glen Ridge borough, Essex County, New Jersey","7584","29","6164","398","304","122","0","17","517","241","0","17","27","33","572","389","0","17","572","389"
"0600000US3401334450","Irvington township, Essex County, New Jersey","54079","33","3966","874","46857","1316","192","172","492","264","0","29","1766","730","806","588","132","130","674","568"
"0600000US3401340890","Livingston township, Essex County, New Jersey","29846","25","20490","597","539","252","38","57","7828","536","51","76","383","263","517","185","134","104","383","174"
"0600000US3401343800","Maplewood township, Essex County, New Jersey","24784","32","13017","797","9558","763","7","8","675","228","0","23","576","232","951","290","125","98","826","275"
"0600000US3401346380","Millburn township, Essex County, New Jersey","20148","40","13267","552","538","299","0","23","5059","413","0","23","653","398","631","251","72","70","559","227"
"0600000US3401347500","Montclair township, Essex County, New Jersey","38427","37","25733","856","8583","766","37","40","1444","321","16","26","742","301","1872","439","206","115","1666","430"
"0600000US3401351000","Newark city, Essex County, New Jersey","281054","54","80315","2915","140888","2448","933","359","5275","629","85","95","46760","2835","6798","919","2137","471","4661","859"
"0600000US3401352620","North Caldwell borough, Essex County, New Jersey","6615","29","5825","191","46","75","0","17","614","182","0","17","0","17","130","102","0","17","130","102"
"0600000US3401353680","Nutley township, Essex County, New Jersey","28478","32","22604","577","855","321","38","46","3018","344","0","23","1111","352","852","285","122","118","730","242"
"0600000US3401364590","Roseland borough, Essex County, New Jersey","5834","35","5071","293","0","17","0","17","426","247","0","17","100","134","237","182","0","17","237","182"
"0600000US3401369274","South Orange Village township, Essex County, New Jersey","16521","31","10727","421","4145","403","9","12","815","190","0","19","140","97","685","216","8","14","677","215"
"0600000US3401375815","Verona township, Essex County, New Jersey","13437","69","12218","482","264","175","0","19","730","439","0","19","66","55","159","169","26","30","133","166"
"0600000US3401378510","West Caldwell township, Essex County, New Jersey","10858","23","10029","217","176","78","0","19","451","167","0","19","79","86","123","63","31","28","92","60"
"0600000US3401379800","West Orange township, Essex County, New Jersey","47359","48","26030","1169","13281","1115","29","45","3553","602","6","13","2334","606","2126","612","408","251","1718","568"
